,4
396,Sufu
397,Cmklr1
398,Gspt1
399,Cyth3
400,Hhla1
401,Tfrc
402,Cldnd1
403,Osbpl5
404,Kif3a
405,Ctdspl
406,Fam45a
407,Itpkc
408,Srrm3
409,Mios
410,Bfar
411,Cmtm3
412,Fam189a1
413,Lrtm2
414,Onecut2
415,Ahrr
416,Cggbp1
417,Gata6
418,Cxcl2
419,Fam19a1
420,Enah
421,9930111J21Rik1
422,Eed
423,Map3k9
424,Lrrc59
425,Ganab
426,Mplkip
427,Mical2
428,Ankrd33b
429,Atp1b3
430,Cplx1
431,Ube2ql1
432,Bmpr1b
433,Rab11fip2
434,Rabgap1l
435,Ubqln4
436,Pdgfra
437,Sephs1
438,Tmem127
439,Ctnnd1
440,Rad50
441,Shank3
442,Rassf4
443,Hells
444,Ankfy1
445,Iffo2
446,Efcc1
447,Stox2
448,Ptgs2
449,Ost4
450,Trim67
451,Patl1
452,Ahsa2
453,Phldb3
454,Cadps2
455,Capza1
456,Med17
457,Sec1
458,Nlrx1
459,Sp4
460,Fgd5
461,Fcho2
462,Mylk
463,Pigb
464,Pias1
465,Thap12
466,Zfp316
467,Pim1
468,Gja1
469,Vcan
470,Hs3st5
471,Wfdc8
472,Cln8
473,A130010J15Rik
474,Secisbp2l
475,Pacsin1
476,Atrx
477,Wdr20rt
478,Scp2
479,Il34
480,Agps
481,Tpgs2
482,Paxbp1
483,Selenop
484,Ccser2
485,N4bp2l2
486,Rasef
487,Ocel1
488,Shox2
489,Steap2
490,Usf3
491,Sec14l2
492,Espnl
493,Ezr
494,Serpinb2
495,Ankrd7
496,Cenpu
497,Cnn3
498,Atrn
499,Slc25a16
500,Flrt2
501,Clic5
502,Ipmk
503,Lrrc71
504,Dhx37
505,Tbkbp1
506,Ccl9
507,Cdc14a
508,Srd5a1
509,Scfd1
510,Plcxd1
511,Egr3
512,Zfp395
513,Car10
514,Praf2
515,Mdga2
516,Gm10662
517,Ston2
518,Gm13289
519,Tmem94
520,Ifnz
521,Gm13272
522,Acot12
523,Fbxl16
524,Vgll3
525,BC037034
526,Gm13278
527,Gm13277
528,Gm13275
529,Gm13290
530,Gm13279
531,Magt1
532,Ptbp1
533,Cd209a
534,Gm13276
535,Gm5891
536,Capn5
537,Rad21
538,Gm13283
539,Mlph
540,Zfp951
541,Ugt1a10
542,Scamp5
543,Ugt1a2
544,Ugt1a1
545,Relb
546,Lnx2
547,Slit2
548,Scai
549,Igsf3
550,Ugt1a6a
551,Ppih
552,Ugt1a9
553,Ankrd49
554,Ugt1a5
555,Dhx33
556,Ugt1a7c
557,Rbm3
558,Ppp1r2
559,Clns1a
560,Psrc1
561,Kdm7a
562,Srgap2
563,Gper1
564,Pdcd6
565,Nucks1
566,9830107B12Rik
567,Il11
568,Zfp704
569,Trpm1
570,1110032F04Rik
571,Bmp5
572,Lbp
573,Pcsk7
574,Ftsj1
575,Tcte1
576,Cnot8
577,Tmem238
578,Tardbp
579,Ppp6r3
580,Nrn1
581,Atp1b2
582,Gdf5
583,Btbd9
584,Cep350
585,Edem1
586,AW146154
587,Rhoh
588,Ctdspl2
589,Usp36
590,Rpgr
591,Gtf3c3
592,Lrrc1
593,Zbtb2
594,AI987944
595,Gabbr1
596,Tmem86a
597,Tead1
598,Slc5a3
599,Cnr1
600,Hif3a
601,Nusap1
602,Fgf23
603,Hmgcs2
604,Pheta1
605,Tada2b
606,Ntrk3
607,Dcstamp
608,Nfat5
609,Lyrm7
610,Yes1
611,Trappc12
612,Zfp30
613,Thsd7a
614,Hecw2
615,Cpeb2
616,Foxj2
617,Zmat2
618,Selenos
619,Zbtb8b
620,Slc22a16
621,Snx11
622,Slc38a4
623,Tomm40l
624,Cdc37l1
625,Brca1
626,Klrb1f
627,Ier3
628,Eif4e
629,Tmem19
630,Rnf185
631,Sec63
632,Rps6ka3
633,Mettl8
634,Nvl
635,Hnrnpul2
636,Map4
637,Apol11b
638,Nlrp3
639,Crk
640,Stk35
641,Rasa2
642,Mllt1
643,Med13l
644,Smg7
645,Vezt
646,Slk
647,Ccnt2
648,Sec61a1
649,Bms1
650,Klhl18
651,Gcnt1
652,Basp1
653,Ctsk
654,Sept8
655,Brd3
656,Necab1
657,Krtap1-4
658,Nxt2
659,Ttc17
660,Ccdc126
661,C330007P06Rik
662,Gsdme
663,Cnot2
664,Add2
665,Shoc2
666,Chrnd
667,Rab3gap2
668,Arhgef7
669,Selp
670,Zfand4
671,Rnf150
672,Gfra1
673,Clec14a
674,Mapk10
675,Sars
676,Ttc26
677,Zfp654
678,Dnajc10
679,Zfp445
680,Rgl1
681,Mindy4
682,Gtf3c4
683,Efhd1
684,Klhl40
685,Ucp3
686,Nin
687,Gpr37l1
688,Ralgps1
689,Smg8
690,2210011C24Rik
691,Mrps25
692,Car7
693,Ifitm6
694,Bahd1
695,U2af2
696,Wdr73
697,Ppargc1a
698,Bcan
699,Nt5e
700,Slc11a2
701,Coq10a
702,Rdh1
703,Tirap
704,Oprk1
705,Magi1
706,Clip3
707,Arid2
708,Colgalt1
709,Galnt7
710,Sft2d2
711,Arhgap28
712,Klhl26
713,Gm12185
714,Sec31a
715,Ptges
716,Hpcal4
717,Ccl6
718,Mapk8
719,Gpr161
720,Ncbp3
721,Gm5615
722,Tns3
723,Sla
724,2310061N02Rik
725,Marcksl1
726,Calcoco1
727,Mfap3
728,Mob2
729,Tmem223
730,Prdm4
731,Fndc10
732,Msh3
733,Abcg4
734,Ska2
735,Ccdc122
736,Ephx3
737,Rpl6
738,Creb1
739,Bcap31
740,Lcp1
741,1700025F22Rik
742,Ttll7
743,Reps2
744,Mknk2
745,Pctp
746,Elovl4
747,Masp2
748,Ak1
749,Fxyd5
750,Luc7l
751,Prrc1
752,Garem1
753,Apbb1
754,Synj2bp
755,Zfp317
756,Fam49b
757,Klhl15
758,Arcn1
759,Pard6g
760,Syn3
761,Fam241b
762,Pbx1
763,Farp1
764,Smco3
765,Crhbp
766,Vldlr
767,Il18r1
768,Mrps7
769,Ephb6
770,Ing5
771,Gca
772,Apcdd1
773,Stxbp5l
774,Trpc4ap
775,Dhrs9
776,Ufl1
777,Rs1
778,Purb
779,Gls
780,Cldn23
781,Sema3e
782,Cdh8
783,Bop1
784,Iqcc
785,Wnt5b
