"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Cops5",1686.89559495999,-0.319251997500651,0.138170897971509,-2.31055889617567,0.0208572318468818,0.525407457939586,"Cops5",1901.45506156342
"Cspp1",142.733160030133,0.249669362639099,0.306440460108056,0.814740202880068,0.415221035686703,0.882111839469377,"Cspp1",132.419601079592
"Arfgef1",673.396576719606,0.0137248780208678,0.153047236528004,0.0896773985092924,0.928543576938757,0.986106553269666,"Arfgef1",695.212941670068
"Gm37569",0.77438472242574,1.37907069274643,2.8749183359121,0.479690388251986,0.631447563483942,NA,"Gm37569",0
"Cpa6",1.20568129735993,-0.0290006929718855,2.02878344973977,-0.0142946222158927,0.988594930044241,NA,"Cpa6",1.49630476707152
"Prex2",8.53356841143561,0.362556614627019,0.803451404102648,0.451248965121852,0.651810122635223,NA,"Prex2",7.07482254608164
"A830018L16Rik",361.547984682657,0.392150540067238,0.227954260940013,1.72030361902485,0.0853772659599165,0.660439883663304,"A830018L16Rik",327.380504496943
"Gm38178",1.74919167570384,0.646705328074315,1.50379444189748,0.430049021366449,0.667159982091391,NA,"Gm38178",2.4392222926375
"Gm2383",0.980112751155041,-1.25241420961443,2.13875346228709,-0.585581382659763,0.558156862328004,NA,"Gm2383",0.51962953681208
"Sulf1",164.685281173152,-0.0309375033463256,0.368979875547183,-0.0838460452631637,0.933178838059144,0.9866750850495,"Sulf1",156.346095891873
"Slco5a1",28.7872671282449,-0.706757264958639,0.420306756654212,-1.68152725067918,0.0926605479025173,0.665278152208989,"Slco5a1",35.6710643874079
"Ncoa2",630.082341207769,0.125048982308509,0.181311691827066,0.689690670515496,0.490388734071306,0.904056789826017,"Ncoa2",519.763956133449
"Gm38376",0.560706207617141,1.57493950190023,3.87948064851257,0.405966582796097,0.684767154254109,NA,"Gm38376",0
"Gm38120",2.9531183875306,1.32430114495093,1.28717495029289,1.0288431612576,0.303553381070018,NA,"Gm38120",2.13597164258426
"Gm38380",0.959204888143331,-0.274081662808504,2.08186428264391,-0.131652031831983,0.895259528212878,NA,"Gm38380",0.734239859258884
"Gm29570",1.42440146118706,1.99774252842757,1.7446687541378,1.14505548614289,0.252186173390215,NA,"Gm29570",0.596823123152746
"Tram1",418.179692559496,-0.0175764467916902,0.153067271217596,-0.114828249382613,0.908581257385187,0.98571735446807,"Tram1",389.05346136194
"Lactb2",216.544666474543,-0.185711617523545,0.181368916594696,-1.02394401979339,0.305861716745109,0.825762993129875,"Lactb2",224.709967220043
"Gm38319",0.738451549021652,-0.894817674536503,2.81377432955472,-0.318013305167266,0.750474844364578,NA,"Gm38319",0.82149535965055
"Gm5523",7.44857548959977,-0.0979905934066473,0.67020167407632,-0.146210606742663,0.883755132574821,NA,"Gm5523",7.22725798599402
"Eya1",6.0734799666669,-0.0499367836292307,0.913756621662292,-0.0546499827693576,0.956417317735443,NA,"Eya1",6.008122161001
"Gm9947",4.57327585399439,-0.527146746809068,0.94191469911949,-0.559654443551894,0.575715161643009,NA,"Gm9947",7.29851891619497
"Msc",32.2144903975856,-0.190737508194992,0.370292065567677,-0.515100176134158,0.606483019648215,0.930228744042639,"Msc",35.3232458647824
"Gm37412",1.72162019829865,-1.03876947446953,2.20774374153708,-0.47051179669354,0.637989408074904,NA,"Gm37412",1.50400598752328
"Rpl5-ps1",3.44570199072944,1.9656374682232,1.27917898765975,1.53663989729797,0.124381516709727,NA,"Rpl5-ps1",0.882102246513295
"Gm10566",3.11230371274713,-1.05925091986664,1.03075941812801,-1.02764127228677,0.304118602385402,NA,"Gm10566",3.8305084248146
"Kcnb2",182.217570946595,-0.0549255757960845,0.269887205753007,-0.203513077408904,0.838734025263402,0.97518960613075,"Kcnb2",187.116505567263
"Gm38116",0.737799663653897,1.17645590326295,2.70193294629393,0.43541269404062,0.663262897954263,NA,"Gm38116",0.665723359754452
"Gm37138",0.841587331225167,1.46125902388903,2.67517064850911,0.546230209539495,0.584907702769446,NA,"Gm37138",0.310951870504991
"Terf1",86.1183450138722,0.239140088950037,0.248329494918771,0.962995108689204,0.335549977924851,0.839302903454688,"Terf1",80.9725350992544
"Gm37509",1.88179761772767,-0.475237381572489,1.51879520324753,-0.312904189160147,0.754353454798475,NA,"Gm37509",1.59857897126943
"Sbspon",1.87553585130691,0.294033914551072,1.47015166482486,0.200002436201778,0.841478675804445,NA,"Sbspon",1.21872686416273
"4930444P10Rik",4.37829567928046,-1.33549765160334,1.06322868008577,-1.25607752745684,0.209087862931801,NA,"4930444P10Rik",6.11570205813502
"Rpl7",4158.5622583231,-0.0513462358785786,0.181281197230903,-0.283240825098796,0.776992235216445,0.965078149721878,"Rpl7",4606.10870139555
"Rdh10",153.07809474942,0.122884898104697,0.198290742693958,0.619720802066681,0.535441617808989,0.915397592152321,"Rdh10",139.736541965451
"Stau2",1152.25109556601,-0.190024155298205,0.155990667015594,-1.21817643923024,0.223156930985293,0.781132005894916,"Stau2",1314.77160962869
"Ube2w",1063.87103096634,-0.158129270459675,0.146426017265158,-1.07992605011802,0.28017511189246,0.819933676397267,"Ube2w",1131.4875583149
"Gm38342",1.25721817458591,0.419975152605017,1.85048486446702,0.226954113848416,0.820459422968119,NA,"Gm38342",1.45286888542433
"Eloc",1261.29199386398,0.0153325437691763,0.153644131055242,0.0997925769365285,0.920509001379536,0.986106553269666,"Eloc",1308.32719050099
"Tmem70",807.550092518314,-0.238225185082985,0.155269450916483,-1.53426951455585,0.124963362300087,0.706456525537139,"Tmem70",935.111959579108
"Ly96",19.9363497338966,-0.235781018389943,0.457595163298238,-0.515261168169893,0.60637053036235,0.930228744042639,"Ly96",22.8459418786797
"Jph1",111.791138749989,0.280103904320428,0.245692754591854,1.14005764958652,0.254262284198889,0.802645874243127,"Jph1",110.709267036229
"Gdap1",768.38822475837,-0.0530710721380371,0.237322764329376,-0.223624026494065,0.823049866638541,0.971693580347556,"Gdap1",756.158564707199
"Gm28784",7.44058968877861,0.253685205334953,0.781829154884814,0.324476522460112,0.745577293944398,NA,"Gm28784",6.6961720977328
