"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",390.371043853941,0.0599419019706933,0.438325573279003,0.136752007240378,0.891226819812212,0.943494339580353,"Xkr4",395.164259692966
"Gm37180",1.12959181715276,-2.91945524334298,2.28475249660655,-1.2777993448652,0.201320185466868,NA,"Gm37180",2.57237229455517
"Gm19938",3.71929845479026,0.0472894135568087,1.35731349234463,0.0348404505101624,0.972206965355148,0.985755155256461,"Gm19938",4.10913915633828
"Rp1",2.11975176204232,1.13433366218265,2.08549797360248,0.543915015282037,0.586499955795088,0.749387660088541,"Rp1",1.79149014920533
"Gm6123",2.04477145233636,-1.71641389739278,1.84960409888481,-0.927989886283054,0.353412815871328,NA,"Gm6123",2.49408597392888
"Mrpl15",494.918528684693,-0.00227317736313727,0.324084136195847,-0.00701415808197281,0.99440355744875,0.997201930309141,"Mrpl15",543.520490656472
"Gm37144",0.827853528527276,-0.526904358336867,2.81821806899682,-0.186963657686158,0.851689127422246,NA,"Gm37144",0.799170449663106
"Lypla1",142.121661855953,0.798176056469664,0.416602456668417,1.91591778611366,0.0553755611847167,0.163829257562945,"Lypla1",124.297576992763
"Tcea1",240.958312475011,0.261248760623209,0.343217766168107,0.761174934327993,0.446552587609183,0.638637481907057,"Tcea1",233.719146531823
"Gm6104",0.594299711853807,0.532783631636921,2.96804121385977,0.179506817206243,0.857539764915502,NA,"Gm6104",0.351297912361774
"Gm37277",7.22683721118309,-1.08642723904788,1.040708246284,-1.04393065292519,0.29651747502273,0.495738643606415,"Gm37277",8.61286195826817
"Rgs20",134.134976420452,-0.45709689007222,0.482694522183054,-0.94696929230714,0.343654426758771,0.545328224604699,"Rgs20",144.095268164171
"Atp6v1h",2095.03397073296,-0.484465825667999,0.229437074223831,-2.11154115919109,0.0347258240373329,0.117868179680015,"Atp6v1h",2536.76710430513
"Oprk1",0.473497858842747,-2.24660682939976,4.37148250167573,-0.513923326591967,0.607305597969255,NA,"Oprk1",0.799170449663106
"Npbwr1",9.41384273421466,-0.632629700020586,1.08520722694781,-0.582957507387673,0.559921905945732,0.730242769868917,"Npbwr1",7.06780995065168
"Rb1cc1",455.578362364394,0.618298400085474,0.215536717920603,2.86864533361427,0.00412233761616298,0.0254887783024452,"Rb1cc1",385.244214740004
"4732440D04Rik",33.8162751442844,4.05655358283215,0.824633603043927,4.91921935737084,8.68900510684671e-07,2.85068747393258e-05,"4732440D04Rik",5.37289442638591
"Gm19026",4.01228587719875,2.85090117411191,1.55018992865733,1.83906573085607,0.0659055187015956,0.183595806702491,"Gm19026",0.447872537301332
"St18",10.7021962450051,0.241179994127504,1.15606803307192,0.208620935124931,0.83474416629685,0.911720258087642,"St18",10.3146285985537
"Pcmtd1",348.879415440965,0.130526565189284,0.267008952529174,0.48884714895476,0.624949915037202,0.77631091600289,"Pcmtd1",357.294887324767
"Gm38372",1.53498615303703,-2.45753178203861,2.11586110005611,-1.16148067657817,0.245446476973382,NA,"Gm38372",2.1427880615671
"Gm26901",6.60278833006154,1.25962539528156,0.959128874434045,1.31330150604092,0.189081371262652,0.3717501673643,"Gm26901",4.17071319388138
"Sntg1",143.755274567661,0.0772120498606461,0.359800912618766,0.214596592595244,0.830081850763515,0.909275263337945,"Sntg1",141.570504626853
"Rrs1",186.261099213512,0.0301663873755178,0.255453981610107,0.118089321549742,0.905996884417536,0.951333155732633,"Rrs1",196.370317959147
"Adhfe1",52.4549205970244,1.72393904370307,0.544953177699269,3.16346268679696,0.00155904335529809,0.0124672897045316,"Adhfe1",25.1762657322671
"2610203C22Rik",6.16665133695307,3.35518861041349,1.52271776886313,2.20342119795351,0.0275650754761247,0.0999139902313556,"2610203C22Rik",1.98306337785437
"Vxn",400.646281813142,-0.826055028098382,0.428159783199328,-1.9293148504651,0.0536917872509261,0.160387601279078,"Vxn",514.428616854493
"Mybl1",36.7908015053946,0.665729010238358,0.521455660725312,1.27667424170326,0.201717278970126,0.389295747454159,"Mybl1",30.9924466236806
"Vcpip1",420.404184358511,-0.184652592618764,0.264634233987075,-0.697765326264561,0.485323966706299,0.671361578633315,"Vcpip1",474.29452346869
"1700034P13Rik",3.16140351761835,0.804343994799594,1.48013857479223,0.543424790420383,0.586837360915419,0.749596768121198,"1700034P13Rik",1.85306418674843
"Sgk3",39.8268490427711,1.71979858332944,0.748714760628056,2.29700103933679,0.0216187104441739,0.0841773660052141,"Sgk3",23.4892303141517
"Mcmdc2",4.16167307226128,1.46192227972016,1.41307783783125,1.03456599529143,0.300871641412177,0.500688709339435,"Mcmdc2",2.1595003446503
"Snhg6",406.5461758951,1.60277613763964,0.606855987339428,2.64111448362982,0.00826337912471321,0.0422514667466445,"Snhg6",252.095743850068
"Ppp1r42",4.67019807879595,1.52719535359208,1.64153921318391,0.93034351011935,0.352193256725337,0.55434139285928,"Ppp1r42",3.5479797110142
"Cops5",1235.87136400874,-0.0820590399972267,0.281612354866636,-0.291390056505467,0.770753018524824,0.871446297627131,"Cops5",1357.17938173699
"Cspp1",73.1126048161626,0.955626408907612,0.312381440419586,3.05916512717282,0.00221954773550125,0.0162506301533921,"Cspp1",56.2464516454745
"Arfgef1",736.930749634078,0.161107076258061,0.222670485762243,0.723522364028448,0.46935901935758,0.658193450110008,"Arfgef1",708.661465984365
