astrocytes,,,
A1_1,Control,,
A2_1,KCl60mM,,
A3_1,DRB50uM,,
A4_1,DRB50uM_KCl60mM,,
A1_2,Control,,
A2_2,KCl60mM,,
A3_2,DRB50uM,,
A4_2,DRB50uM_KCl60mM,,
A1_3,Control,,
A2_3,KCl60mM,,
A3_3,ActD100uM,,
A4_3,ActD100uM_KCl60mM,,
,,,
neurons,,,
N1_1,Control,,
N2_1,KCl60mM,,
N3_1,DRB50uM,,
N4_1,DRB50uM_KCl60mM,,
N1_2,Control,,
N2_2,KCl60mM,,
N3_2,DRB50uM,,
N4_2,DRB50uM_KCl60mM,,
N1_3,Control,,
N2_3,KCl60mM,,
N3_3,ActD100uM,,
N4_3,ActD100uM_KCl60mM,,
N3_4,ActD100uM,, 
N4_4,ActD100uM_KCl60mM,,
